agno,fecha_bbdd,codigo_bbdd,grado,rbd,dvrbd,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_reg_rbd_2014,nom_reg_rbd_2014,cod_pro_rbd_2014,nom_pro_rbd_2014,cod_com_rbd_2014,nom_com_rbd_2014,nom_deprov_rbd_2014,cod_depe1,cod_depe2,cod_grupo,cod_rural_rbd,nalu_lect2m_rbd,nalu_mate2m_rbd,nalu_nat2m_rbd,prom_lect2m_rbd,prom_mate2m_rbd,prom_nat2m_rbd,dif_lect2m_rbd,dif_mate2m_rbd,difgru_lect2m_rbd,difgru_mate2m_rbd,difgru_nat2m_rbd,sigdif_lect2m_rbd,sigdif_mate2m_rbd,siggru_lect2m_rbd,siggru_mate2m_rbd,siggru_nat2m_rbd,marca_lect2m_rbd,marca_mate2m_rbd,marca_nat2m_rbd,marcadif_lect2m_rbd,marcadif_mate2m_rbd,palu_eda_ins_lect2m_rbd,palu_eda_ele_lect2m_rbd,palu_eda_ade_lect2m_rbd,palu_eda_ins_mate2m_rbd,palu_eda_ele_mate2m_rbd,palu_eda_ade_mate2m_rbd,marca_eda_lect2m_rbd,marca_eda_mate2m_rbd,noaplica
2014,20151009,final20151009v1,2m,1,9,LICEO POLITECNICO ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,77,79,79,210,202,214,24,6,-13,-15,-6,Positiva y significativa,No significativa,Negativa y significativa,Negativa y significativa,No significativa,,,,,,79.2,16.9,3.9,84.8,15.2,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,4,3,LICEO OCTAVIO PALMA PEREZ,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,130,152,151,267,260,238,-9,-16,27,17,5,No significativa,Negativa y significativa,Positiva y significativa,Positiva y significativa,No significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,33.8,39.2,26.9,40.1,48.7,11.2,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,5,1,JOVINA NARANJO FERNANDEZ,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,56,67,67,275,302,269,11,43,11,21,10,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,Ajenas a la Agencia: Resultados no representativos,,,Ajenas a la Agencia: No reporte,,26.8,41.1,32.1,14.9,44.8,40.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,7,8,L. POLI. ANTONIO VARAS DE LA BARRA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,97,132,135,206,193,205,2,-6,-17,-24,-15,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,83.5,13.4,3.1,88.6,11.4,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,46,46,61,230,212,212,11,-6,7,-5,-8,No significativa,No significativa,No significativa,No significativa,No significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,67.4,23.9,8.7,67.4,32.6,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,23,21,20,190,164,197,-24,-44,-50,-79,-36,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: No reporte,Ajenas a la Agencia: No reporte,95.7,4.3,0,100,0,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Rural,31,25,26,228,207,228,-4,-9,5,-10,8,No significativa,No significativa,No significativa,No significativa,No significativa,,Ajenas a la Agencia: Resultados no representativos,Ajenas a la Agencia: Resultados no representativos,,Ajenas a la Agencia: No reporte,64.5,16.1,19.4,84,16,0,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,45,0,COLEGIO ITALIANO SANTA ANA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio alto,Urbano,49,45,45,282,295,262,19,24,4,-13,-18,Positiva y significativa,Positiva y significativa,No significativa,Negativa y significativa,Negativa y significativa,,,,,,16.3,49,34.7,11.1,55.6,33.3,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,50,7,COLEGIO ADVENTISTA DE ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio,Urbano,41,40,40,268,325,263,-24,9,4,44,4,Negativa y significativa,No significativa,No significativa,Positiva y significativa,No significativa,,,,,,34.1,36.6,29.3,12.5,22.5,65,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,2m,52,3,LICEO DOMINGO SANTA MARIA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Particular subvencionado,Particular subvencionado,Medio bajo,Urbano,302,297,296,241,261,235,5,-5,1,18,2,No significativa,No significativa,No significativa,Positiva y significativa,No significativa,,,,,,58.6,23.5,17.9,35,57.2,7.7,,,Rbd y curso rinde Simce
