agno,fecha_bbdd,codigo_bbdd,grado,rbd,dvrbd,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_reg_rbd_2014,nom_reg_rbd_2014,cod_pro_rbd_2014,nom_pro_rbd_2014,cod_com_rbd_2014,nom_com_rbd_2014,nom_deprov_rbd_2014,cod_depe1,cod_depe2,cod_grupo,cod_rural_rbd,nalu_lect4b_rbd,nalu_mate4b_rbd,nalu_soc4b_rbd,prom_lect4b_rbd,prom_mate4b_rbd,prom_soc4b_rbd,dif_lect4b_rbd,dif_mate4b_rbd,dif_soc4b_rbd,difgru_lect4b_rbd,difgru_mate4b_rbd,difgru_soc4b_rbd,sigdif_lect4b_rbd,sigdif_mate4b_rbd,sigdif_soc4b_rbd,siggru_lect4b_rbd,siggru_mate4b_rbd,siggru_soc4b_rbd,palu_eda_ins_lect4b_rbd,palu_eda_ele_lect4b_rbd,palu_eda_ade_lect4b_rbd,palu_eda_ins_mate4b_rbd,palu_eda_ele_mate4b_rbd,palu_eda_ade_mate4b_rbd,palu_eda_ins_soc4b_rbd,palu_eda_ele_soc4b_rbd,palu_eda_ade_soc4b_rbd,marca_lect4b_rbd,marca_mate4b_rbd,marca_soc4b_rbd,marcadif_lect4b_rbd,marcadif_mate4b_rbd,marcadif_soc4b_rbd,marca_eda_lect4b_rbd,marca_eda_mate4b_rbd,marca_eda_soc4b_rbd,noaplica
2014,20151009,final20151009v1,4b,5,1,JOVINA NARANJO FERNANDEZ,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,32,32,32,274,262,264,0,-19,-8,9,5,8,No significativa,Negativa y significativa,No significativa,Positiva y significativa,No significativa,Positiva y significativa,21.9,37.5,40.6,21.9,65.6,12.5,34.4,43.8,21.9,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,14,15,14,255,239,235,25,15,-7,-10,-18,-21,Positiva y significativa,No significativa,No significativa,No significativa,Negativa y significativa,Negativa y significativa,42.9,28.6,28.6,46.7,40,13.3,64.3,35.7,0,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,9,4,ESCUELA REPUBLICA DE ISRAEL,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,156,156,156,261,250,249,1,12,-12,-4,-7,-7,No significativa,Positiva y significativa,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,37.8,25,37.2,42.9,42.3,14.7,39.7,46.2,14.1,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,10,8,ESCUELA REPUBLICA DE FRANCIA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,24,22,22,234,207,210,-24,-15,-24,-31,-50,-46,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,66.7,20.8,12.5,86.4,9.1,4.5,81.8,13.6,4.5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,20,21,21,284,270,273,20,31,14,39,36,39,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,15,25,60,23.8,42.9,33.3,9.5,42.9,47.6,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,24,24,24,289,268,253,17,21,-8,38,25,12,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,12.5,20.8,66.7,25,50,25,29.2,58.3,12.5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,20,20,20,277,259,231,17,20,7,26,16,-10,Positiva y significativa,Positiva y significativa,No significativa,Positiva y significativa,Positiva y significativa,No significativa,15,45,40,15,75,10,65,30,5,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,14,0,ESCUELA ROMULO J. PENA MATURANA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,19,19,19,232,207,224,6,-19,-6,-19,-36,-17,No significativa,No significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,63.2,21.1,15.8,84.2,15.8,0,73.7,26.3,0,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,16,7,ESCUELA REGIMIENTO RANCAGUA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,26,26,26,239,224,234,21,21,-4,-12,-19,-7,Positiva y significativa,Positiva y significativa,No significativa,Negativa y significativa,Negativa y significativa,No significativa,50,26.9,23.1,65.4,34.6,0,61.5,34.6,3.8,,,,,,,,,,Rbd y curso rinde Simce
2014,20151009,final20151009v1,4b,17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,15,REGIÓN ARICA - PARINACOTA,1,ARICA,15101,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,25,28,25,240,220,219,-30,-61,-7,-11,-23,-22,Negativa y significativa,Negativa y significativa,No significativa,Negativa y significativa,Negativa y significativa,Negativa y significativa,56,24,20,71.4,25,3.6,76,24,0,,,,,,,,,,Rbd y curso rinde Simce
