agno,fecha_bbdd,codigo_bbdd,grado,rbd,dvrbd,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_deprov_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe1,cod_depe2,cod_grupo,cod_rural_rbd,nalu_lect4b_rbd,nalu_mate4b_rbd,prom_lect4b_rbd,prom_mate4b_rbd,dif_lect4b_rbd,dif_mate4b_rbd,difgru_lect4b_rbd,difgru_mate4b_rbd,sigdif_lect4b_rbd,sigdif_mate4b_rbd,siggru_lect4b_rbd,siggru_mate4b_rbd,marca_lect4b_rbd,marca_mate4b_rbd,marcadif_lect4b_rbd,marcadif_mate4b_rbd,palu_eda_ins_lect4b_rbd,palu_eda_ele_lect4b_rbd,palu_eda_ade_lect4b_rbd,palu_eda_ins_mate4b_rbd,palu_eda_ele_mate4b_rbd,palu_eda_ade_mate4b_rbd,noaplica
2015,20170208,final20170208v1,4b,5,1,JOVINA NARANJO FERNANDEZ,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,24,24,296,264,22,2,30,3,Positiva y significativa,No significativa,Positiva y significativa,No significativa,,,,,4.2,41.7,54.2,29.2,62.5,8.3,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,31,30,252,240,-3,1,1,-5,No significativa,No significativa,No significativa,No significativa,,,,,45.2,19.4,35.5,46.7,50,3.3,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,9,4,ESCUELA REPUBLICA DE ISRAEL,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,133,133,273,259,12,9,7,-2,Positiva y significativa,No significativa,Positiva y significativa,No significativa,,,,,25.6,28.6,45.9,34.6,45.9,19.5,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,10,8,ESCUELA REPUBLICA DE FRANCIA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio,Urbano,19,19,298,284,64,77,32,23,Positiva y significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,,,,,5.3,36.8,57.9,15.8,42.1,42.1,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Bajo,Urbano,28,26,243,248,-41,-22,-2,14,Negativa y significativa,Negativa y significativa,No significativa,Positiva y significativa,,,,,57.1,21.4,21.4,46.2,42.3,11.5,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,33,34,300,297,11,29,49,52,No significativa,Positiva y significativa,Positiva y significativa,Positiva y significativa,,,,,15.2,24.2,60.6,8.8,35.3,55.9,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,14,14,260,263,-17,4,9,18,No significativa,No significativa,No significativa,Positiva y significativa,,,,,28.6,50,21.4,35.7,35.7,28.6,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,14,0,ESCUELA ROMULO J. PENA MATURANA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,18,18,232,226,0,19,-19,-19,No significativa,No significativa,Negativa y significativa,Negativa y significativa,,,,,61.1,27.8,11.1,77.8,16.7,5.6,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,17,16,259,245,,,8,0,,,No significativa,No significativa,,,Evaluación actual no permite comparar,Evaluación actual no permite comparar,23.5,52.9,23.5,37.5,50,12.5,Rbd y curso rinde Simce
2015,20170208,final20170208v1,4b,16,7,ESCUELA REGIMIENTO RANCAGUA,15,ARICA Y PARINACOTA,1,ARICA,1,1,ARICA,ARICA,Municipal DAEM,Municipal,Medio bajo,Urbano,21,23,229,226,-10,2,-22,-19,No significativa,No significativa,Negativa y significativa,Negativa y significativa,,,,,61.9,19,19,69.6,21.7,8.7,Rbd y curso rinde Simce
